filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_972.pdb,100.0,0.638734473259,0.246,0.174,-48.447,-46.0861713298,44.1110208346,-11,-60.019,-201.913,-504.6,664.520,-2740.436,82.3448435486,13.5996490429,6.01521204286,-38.6069178497,0.0,33.317,-109.226,-295.070,5.71602606398,-6.5611563153,80.2,-2434.0571343,-5.845,1539.412,62.0,-32.392,438,-43.783,506.408,-2619.44920334,286.522,59.510,1,6.712,1.30003542913,-64.288
50_sugar_small_moves_88.pdb,57.14,37.838117594,0.236,0.215,-48.447,-96.1440837185,1195.35474389,-12,-58.449,-201.913,646.65,673.009,-2757.361,475.495616458,65.5630653772,7.1715360166,-1.407534729,0.0,42.496,-109.226,-295.326,10.3997354819,45.402260019,47.52,-2040.90636139,-5.845,1582.947,72.0,-32.392,437,-43.492,515.058,-2669.50711572,438.518,59.510,0,951.393,7.62934478578,-64.288
50_sugar_small_moves_932.pdb,85.71,3.01737517024,0.249,0.127,-48.447,-58.2277908604,43.1627069076,-3,-60.347,-201.913,-505.55,666.719,-2745.186,56.4198702228,12.3679248485,7.40357950482,-36.2282771527,0.0,31.621,-109.226,-294.947,9.46537949432,-7.79288050972,91.09,-2459.98210762,-5.845,1545.895,64.0,-32.392,446,-45.996,501.590,-2631.59082287,290.624,59.510,2,6.704,1.70198945866,-64.288
50_sugar_small_moves_38.pdb,100.0,0.664531836761,0.246,0.215,-48.447,-129.896595001,39.2994243452,3,-63.087,-203.055,-509.41,666.487,-2752.992,-192.008185597,7.57661637834,5.08453550786,-38.5811204862,0.0,31.957,-109.226,-298.612,10.8246365921,-12.5841889799,94.06,-2708.41016344,-5.845,1555.250,66.0,-32.392,452,-46.234,501.347,-2703.25962701,291.067,59.510,2,8.688,1.80211345104,-64.288
50_sugar_small_moves_29.pdb,100.0,0.898370211361,0.254,0.215,-48.447,-22.1840578782,34.1575467775,-1,-61.475,-202.966,-514.55,665.100,-2748.425,-15.1858150549,10.6120937732,4.70118171383,-38.3472821116,0.0,30.886,-109.226,-296.541,4.91384340737,-9.54871158496,91.09,-2531.5877929,-5.845,1546.379,46.0,-32.392,448,-45.825,508.472,-2595.54708988,284.953,59.510,2,5.109,1.18851254195,-64.288
50_sugar_small_moves_647.pdb,100.0,-0.761167430423,0.244,0.211,-48.447,-78.1415709896,50.2813339165,0,-63.242,-201.947,-498.43,667.999,-2739.429,-131.864395555,7.7858058694,7.18619059157,-40.0068197534,0.0,30.176,-109.226,-296.442,10.8834145506,-12.3749994888,98.02,-2648.2663734,-5.845,1544.785,50.0,-32.392,449,-47.157,505.514,-2651.50460299,288.316,59.510,1,13.231,1.04765478317,-64.288
50_sugar_small_moves_79.pdb,100.0,0.513709084962,0.254,0.591,-48.447,-83.2225347229,42.6191154156,2,-61.807,-202.455,-506.09,666.673,-2749.016,-245.248019381,8.31118499581,6.92044093142,-38.731943238,0.0,35.568,-109.226,-297.929,10.1863730713,-11.8496203624,98.02,-2761.64999723,-5.845,1553.583,44.0,-32.392,451,-47.853,499.083,-2656.58556673,286.675,59.510,2,11.230,1.63583481179,-64.288
50_sugar_small_moves_654.pdb,100.0,1.80907954683,0.254,0.215,-48.447,-29.1940293139,37.984091042,-6,-62.691,-201.913,-510.73,665.957,-2744.108,-105.062328345,12.0376411298,9.03414613933,-37.4365727761,0.0,33.848,-109.226,-293.426,8.47629715329,-8.12316422844,96.04,-2621.46430619,-5.845,1541.338,52.0,-32.392,443,-44.385,498.899,-2602.55706132,286.854,59.510,2,9.121,0.975182370427,-64.288
50_sugar_small_moves_135.pdb,100.0,0.805902720118,0.244,0.591,-48.447,-50.1052767462,30.188473928,-1,-62.087,-202.399,-518.52,665.128,-2750.265,-73.3656365104,7.95084984753,6.34620724577,-38.4397496029,0.0,29.714,-109.226,-296.509,5.31371386383,-12.2099555107,92.08,-2589.76761436,-5.845,1548.983,44.0,-32.392,448,-46.738,502.333,-2623.46830875,286.859,59.510,2,6.310,1.16124902715,-64.288
50_sugar_small_moves_67.pdb,85.71,2.16312141305,0.254,0.215,-48.447,-2.97298609091,77.1507241748,-7,-62.321,-202.494,-471.56,667.134,-2735.245,160.857580135,12.8362369381,4.92469113725,-37.0825309099,0.0,40.371,-109.226,-293.281,11.8096803012,-7.32456842012,87.13,-2355.54439771,-5.845,1538.939,50.0,-32.392,442,-43.033,502.616,-2576.3360181,296.392,59.510,0,19.581,2.52720916174,-64.288
50_sugar_small_moves_583.pdb,100.0,0.406930606408,0.244,0.311,-48.447,-12.0356431385,34.0374413613,-6,-60.507,-201.913,-514.67,667.511,-2741.189,86.5052740922,11.3279621575,5.22968042498,-38.8387217166,0.0,28.839,-109.226,-296.898,5.24528229319,-8.83284320074,89.11,-2429.89670375,-5.845,1541.402,54.0,-32.392,443,-45.708,500.300,-2585.39867514,287.156,59.510,0,6.465,1.29126937699,-64.288
50_sugar_small_moves_655.pdb,100.0,0.263403315767,0.244,0.327,-48.447,-76.6628504771,35.9402905427,1,-62.949,-202.072,-512.77,666.167,-2749.339,-49.6711939687,5.38398964372,6.7166228419,-38.9822490072,0.0,35.200,-109.226,-297.373,5.24640432702,-14.7768157145,90.1,-2566.07317181,-5.845,1549.442,64.0,-32.392,450,-46.094,502.564,-2650.02588248,286.368,59.510,2,5.432,1.60989195663,-64.288
50_sugar_small_moves_705.pdb,100.0,15.7911572166,0.241,0.215,-48.447,74.0206857281,105.986484689,-14,-57.263,-201.913,-442.72,667.777,-2738.802,106.031358417,16.2230439863,7.56065411098,-23.4544951064,0.0,31.681,-109.226,-292.395,11.6403852012,-3.9377613719,84.16,-2410.37061943,-5.845,1540.321,66.0,-32.392,435,-44.002,519.309,-2499.34234628,302.027,59.510,1,30.768,1.33531641994,-64.288
50_sugar_small_moves_241.pdb,71.43,0.805629636232,0.254,0.156,-48.447,3.57078850921,131.129624947,-13,-59.384,-201.913,-417.58,672.934,-2730.941,187.250503383,17.3800473018,8.12536066321,-38.4400226867,0.0,48.312,-109.226,-290.901,7.82616811992,-2.78075805641,72.28,-2329.15147446,-5.845,1530.469,6.0,-32.392,436,-43.726,500.978,-2569.7922435,311.189,59.510,0,45.679,2.82310892175,-64.288
50_sugar_small_moves_250.pdb,100.0,0.934097456614,0.246,0.327,-48.447,-52.3683947666,34.2120736323,-5,-62.673,-201.913,-514.5,664.270,-2745.787,-26.3457373019,9.73874963337,5.91005372017,-38.3115548664,0.0,33.097,-109.226,-296.578,7.20566012375,-10.4220557248,90.1,-2542.74771515,-5.845,1546.528,54.0,-32.392,444,-45.051,501.196,-2625.73142677,285.790,59.510,2,6.737,1.09703939839,-64.288
50_sugar_small_moves_785.pdb,71.43,1.61182402926,0.246,0.215,-48.447,-20.0731558395,216.895515772,-8,-61.967,-202.511,-331.81,666.391,-2753.484,-12.7085722848,28.9051550253,9.04032643309,-37.6338282937,0.0,45.969,-109.226,-293.125,9.41609705096,8.74434966709,82.18,-2529.11055013,-5.845,1566.304,66.0,-32.392,441,-42.844,502.175,-2593.43618784,331.849,59.510,1,109.655,6.05865867276,-64.288
50_sugar_small_moves_505.pdb,57.14,2.84597575994,0.254,0.156,-48.447,-112.702247286,2837.78189769,-15,-59.377,-201.913,2289.07,675.205,-2726.834,647.307410456,25.6382860874,7.51811237521,-36.399676563,0.0,34.591,-109.226,-291.761,10.7798339095,5.47748072921,34.65,-1869.09456739,-5.845,1527.431,0.0,-32.392,434,-42.002,517.700,-2686.06527929,358.394,59.510,0,2697.915,10.7798339095,-64.288
50_sugar_small_moves_386.pdb,85.71,0.541780150169,0.254,0.215,-48.447,-81.3960360252,72.7687341988,-6,-60.469,-201.913,-475.94,668.021,-2745.899,-227.778165625,14.2581957935,7.37083902421,-38.7038721728,0.0,41.074,-109.226,-295.961,10.4999239498,-5.90260956469,91.09,-2744.18014347,-5.845,1549.861,76.0,-32.392,443,-44.949,503.417,-2654.75906803,296.701,59.510,2,14.394,2.07762660042,-64.288
50_sugar_small_moves_27.pdb,100.0,0.303670559626,0.236,0.215,-48.447,-76.2352370533,33.2971992627,-2,-62.053,-202.720,-515.41,667.939,-2743.096,44.9129610065,7.6397422646,6.49774802946,-38.9419817634,0.0,29.795,-109.226,-296.752,4.44267558471,-12.5210630936,84.16,-2471.48901684,-5.845,1543.693,58.0,-32.392,447,-45.060,502.796,-2649.59826906,284.294,59.510,0,5.989,1.96276348176,-64.288
50_sugar_small_moves_247.pdb,100.0,3.28819002254,0.241,0.223,-48.447,-69.6986299387,47.1033677024,-3,-59.250,-202.818,-501.61,666.474,-2747.835,-136.874754902,6.44154114627,5.96962994551,-35.9574623004,0.0,34.164,-109.226,-295.994,9.49004688325,-13.7192642119,95.05,-2653.27673275,-5.845,1544.919,70.0,-32.392,446,-47.064,504.010,-2643.06166194,291.479,59.510,1,10.531,1.40538681784,-64.288
50_sugar_small_moves_507.pdb,100.0,1.15191594428,0.254,0.168,-48.447,-29.3592072743,36.1920429288,-5,-60.167,-201.913,-512.52,666.597,-2741.052,114.796370892,14.9853275333,4.92711477533,-38.0937363787,0.0,33.015,-109.226,-295.820,4.8506356836,-5.17547782491,86.14,-2401.60560695,-5.845,1540.201,66.0,-32.392,444,-44.444,500.323,-2602.72223928,286.192,59.510,0,4.815,1.56259567086,-64.288
50_sugar_small_moves_681.pdb,100.0,3.51112877753,0.254,0.174,-48.447,-67.7890845967,37.4168136753,-5,-60.296,-202.591,-511.29,666.372,-2744.629,87.8554840727,10.6253165833,8.02898120496,-35.7345235454,0.0,31.859,-109.226,-294.622,8.51944748646,-9.53548877491,94.06,-2428.54649377,-5.845,1545.516,52.0,-32.392,444,-46.212,501.266,-2641.1521166,284.747,59.510,1,7.557,1.02905883075,-64.288
