filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,Fc_glycan_rmsd,rama
50_sugar_small_moves_150.pdb,87.5,2.42771615526,0.296,3.352,-48.330,16.9149243804,18.1908178358,-9,-66.234,-200.091,-460.88,685.905,-2743.986,329.862923481,10.0513822092,5.20317065344,-39.6491295249,0.0,24.875,-111.099,-312.710,3.23005142797,-7.15619972807,67.01,-2186.53905436,-5.889,1539.876,58.0,-32.392,453,-48.249,552.510,-2568.35189696,302.209,60.812,0,2.10595107609,-61.735
50_sugar_small_moves_765.pdb,100.0,0.543300098186,0.298,0.862,-48.330,9.52348602631,-12.6945091893,-6,-66.984,-200.091,-491.77,680.511,-2748.454,315.613590047,7.15919176552,3.23595807473,-41.5335455819,0.0,25.022,-111.099,-311.542,3.08419382969,-10.0483901717,77.32,-2200.7883878,-5.889,1544.272,50.0,-32.392,456,-48.910,550.986,-2575.74333531,280.899,60.812,0,2.97716972027,-61.735
50_sugar_small_moves_455.pdb,100.0,1.662345989,0.298,0.271,-48.330,-96.030210681,4.6370307041,-9,-65.728,-200.091,-474.43,682.246,-2741.847,406.322020343,9.00952104375,4.2312641951,-40.4144996911,0.0,28.862,-111.099,-311.765,4.86314877687,-8.19806089349,57.73,-2110.0799575,-5.889,1538.767,82.0,-32.392,453,-48.657,552.635,-2681.29703202,289.208,60.812,0,5.07037594466,-61.735
50_sugar_small_moves_278.pdb,87.5,1.87239466403,0.298,0.484,-48.330,16.3914186891,-14.0428071213,-9,-66.262,-200.091,-493.11,682.112,-2743.474,574.934610308,8.58198127369,4.53854422385,-40.2044510161,0.0,24.178,-111.099,-312.291,2.78189161438,-8.62560066355,62.89,-1941.46736754,-5.889,1538.275,66.0,-32.392,453,-48.687,552.645,-2568.87540265,278.331,60.812,0,1.9127532544,-61.735
50_sugar_small_moves_657.pdb,100.0,2.07221489183,0.298,0.331,-48.330,-3.14147629825,-6.77620085703,-9,-65.970,-200.091,-485.85,682.201,-2750.611,262.229723937,10.0641666652,3.46776286091,-40.0046307883,0.0,28.777,-111.099,-312.974,1.90738928222,-7.14341527206,71.13,-2254.17225391,-5.889,1545.202,64.0,-32.392,453,-48.976,551.886,-2588.40829763,282.713,60.812,0,2.10748441315,-61.735
50_sugar_small_moves_195.pdb,87.5,-0.265809353222,0.296,1.466,-48.330,50.0000295138,-8.36549357517,-12,-65.886,-200.091,-487.44,681.554,-2744.458,642.084190753,8.39231570915,2.94968031179,-42.3426550334,0.0,27.507,-111.099,-311.412,5.14704877822,-8.81526622809,46.39,-1874.31778709,-5.889,1537.134,70.0,-32.392,450,-48.082,551.507,-2535.26679182,281.661,60.812,0,5.39481532627,-61.735
50_sugar_small_moves_516.pdb,100.0,2.64746355447,0.296,0.331,-48.330,-2.21739039399,-12.3588382602,-9,-66.026,-200.091,-491.43,679.818,-2746.587,191.727598709,10.3964786405,2.74009297887,-39.4293821257,0.0,25.845,-111.099,-313.278,1.98003633296,-6.81110329675,60.82,-2324.67437914,-5.889,1543.518,60.0,-32.392,453,-48.646,551.232,-2587.48421173,280.792,60.812,0,2.12616645327,-61.735
50_sugar_small_moves_52.pdb,75.0,1.52776399607,0.299,3.261,-48.330,-8.81160113088,34.2290825256,-8,-65.821,-200.091,-444.84,683.293,-2749.076,440.908651625,9.3091833448,3.42277460412,-40.5490816841,0.0,33.875,-111.099,-312.046,5.82363652511,-7.89839859243,48.45,-2075.49332622,-5.889,1544.430,58.0,-32.392,454,-48.634,549.556,-2594.07842247,314.745,60.812,0,6.45382336737,-61.735
50_sugar_small_moves_512.pdb,87.5,2.10625118362,0.296,0.331,-48.330,26.5770205773,-7.35954201017,-6,-67.372,-200.091,-486.43,681.844,-2752.791,204.405135162,7.06133125195,4.37270518091,-39.9705944965,0.0,25.548,-111.099,-312.752,2.04899106424,-10.1462506853,89.69,-2311.99684268,-5.889,1548.902,44.0,-32.392,456,-49.622,555.854,-2558.68980076,282.056,60.812,1,1.72450430381,-61.735
50_sugar_small_moves_889.pdb,62.5,3.46487687334,0.293,0.239,-48.330,-140.700089986,59.3010296505,-14,-65.514,-200.091,-419.77,682.467,-2738.567,763.45997199,17.413052128,4.38495759862,-38.6119688068,0.0,34.516,-111.099,-311.909,10.1069361994,0.205470190735,30.93,-1752.94200585,-5.889,1542.904,76.0,-32.392,448,-47.924,552.983,-2725.96691132,329.466,60.812,0,13.168641924,-61.735
