filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_924.pdb,100.0,1.06241727945,0.246,0.167,-48.447,-12.5424169401,10.518161939,-1,-62.001,-203.010,-538.19,663.945,-2749.025,-109.836944131,6.32160696613,-38.1832350435,0.0,28.415,-109.226,-297.931,0.00297191596,-13.8391983921,100.0,-2626.23892198,-5.845,1546.597,40.0,-32.392,448,-47.213,498.089,-2585.90544895,283.195,59.510,2,1.022,0.571201558082,-64.288
50_sugar_small_moves_673.pdb,100.0,0.453851341654,0.254,0.167,-48.447,-12.5644080886,5.39873279803,0,-62.954,-202.772,-543.31,665.401,-2750.744,-79.4165378867,3.40152952455,-38.7918009813,0.0,26.413,-109.226,-297.809,0.00297191596,-16.7592758337,99.01,-2595.81851573,-5.845,1547.611,54.0,-32.392,449,-48.018,498.474,-2585.92744009,280.412,59.510,2,0.942,0.539485190275,-64.288
50_sugar_small_moves_496.pdb,100.0,0.49063957761,0.246,0.167,-48.447,-34.8707010705,8.60366837409,-5,-62.861,-201.913,-540.11,664.514,-2745.442,-47.7508120712,7.03185379079,-38.7550127454,0.0,25.712,-109.226,-296.255,0.00297191596,-13.1289515674,96.04,-2564.15278992,-5.845,1542.350,38.0,-32.392,444,-45.268,498.413,-2608.23373308,279.878,59.510,2,1.039,0.651692280526,-64.288
50_sugar_small_moves_699.pdb,100.0,-0.870082129742,0.254,0.167,-48.447,-1.69639797683,12.1421826768,1,-63.174,-202.282,-536.57,666.479,-2751.425,-13.617865554,4.42199276234,-40.1157344527,0.0,26.135,-109.226,-300.938,0.00297191596,-15.7388125959,96.04,-2530.0198434,-5.845,1550.887,40.0,-32.392,450,-46.857,498.619,-2575.05942998,284.910,59.510,1,1.346,0.603560238539,-64.288
50_sugar_small_moves_665.pdb,100.0,0.364508083787,0.254,0.167,-48.447,-34.7691539362,7.27741245631,-1,-62.642,-201.913,-541.43,665.026,-2745.840,-64.0939433176,4.97267537987,-38.8811442392,0.0,25.637,-109.226,-297.358,0.00297191596,-15.1881299783,97.03,-2580.49592116,-5.845,1543.165,44.0,-32.392,448,-46.833,498.765,-2608.13218594,280.253,59.510,2,0.574,0.472265155651,-64.288
50_sugar_small_moves_461.pdb,100.0,0.328887929835,0.254,0.167,-48.447,9.0765265973,9.78145314475,1,-62.410,-202.488,-538.93,663.904,-2750.349,-78.0302965535,2.43094895013,-38.9167643931,0.0,29.183,-109.226,-297.930,0.00297191596,-17.7298564081,95.05,-2594.4322744,-5.845,1546.632,40.0,-32.392,450,-48.231,500.726,-2564.28650541,281.844,59.510,2,0.457,0.86764096485,-64.288
50_sugar_small_moves_219.pdb,100.0,-1.01730350085,0.246,0.167,-48.447,8.8549473525,7.74162723977,2,-63.978,-202.714,-540.97,665.703,-2753.314,-61.6457660973,3.55751384189,-40.2629558238,0.0,27.240,-109.226,-302.311,0.00297191596,-16.6032915163,97.03,-2578.04774394,-5.845,1553.844,36.0,-32.392,451,-48.266,498.430,-2564.50808465,284.111,59.510,2,0.560,0.703962517724,-64.288
50_sugar_small_moves_341.pdb,100.0,0.184740433302,0.254,0.167,-48.447,13.1461612348,6.96629652272,2,-63.596,-202.425,-541.74,665.118,-2751.127,-96.0542651967,3.28301708982,-39.0609118897,0.0,27.375,-109.226,-297.973,0.00297191596,-16.8777882684,99.01,-2612.45624304,-5.845,1548.240,50.0,-32.392,451,-48.310,497.918,-2560.21687077,282.196,59.510,2,1.107,0.861263333919,-64.288
50_sugar_small_moves_102.pdb,100.0,0.367286641228,0.254,0.167,-48.447,-27.8440985862,2.68085779494,0,-62.422,-202.632,-546.03,664.750,-2747.955,-102.532570557,2.93155238992,-38.8783656818,0.0,24.994,-109.226,-297.387,0.00297191596,-17.2292529683,97.03,-2618.9345484,-5.845,1544.955,46.0,-32.392,449,-47.827,497.733,-2601.20713059,279.037,59.510,2,0.992,0.635240474669,-64.288
50_sugar_small_moves_354.pdb,100.0,-1.02030266978,0.254,0.167,-48.447,15.7335304022,6.00356704847,4,-63.852,-202.681,-542.71,666.077,-2753.121,-145.325507271,2.53525990526,-40.2659549928,0.0,26.476,-109.226,-301.467,0.00297191596,-17.625545453,99.01,-2661.72748512,-5.845,1552.499,42.0,-32.392,453,-48.026,498.899,-2557.6295016,282.121,59.510,2,0.635,0.676943370416,-64.288
