filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,Fc_glycan_rmsd,rama
50_sugar_small_moves_448.pdb,100.0,2.06029751874,0.296,0.239,-48.330,-106.391540075,6.77898857598,-10,-65.298,-200.091,-472.29,684.488,-2739.462,791.50301484,21.1798498897,4.90888372134,-40.0165481614,0.0,26.042,-111.099,-312.508,4.86954543346,3.97226795244,41.24,-1724.898963,-5.889,1536.799,78.0,-32.392,452,-48.626,552.955,-2691.65836141,291.508,60.812,0,4.97990519622,-61.735
50_sugar_small_moves_131.pdb,87.5,2.91952877947,0.298,0.239,-48.330,15.0487873161,-1.81341556593,-11,-66.557,-200.091,-480.88,682.369,-2740.858,782.878815529,10.8941279551,5.22903710634,-39.1573169007,0.0,30.461,-111.099,-311.445,3.43263206889,-6.31345398218,48.45,-1733.52316232,-5.889,1537.141,76.0,-32.392,451,-48.482,551.291,-2570.21803402,283.383,60.812,0,4.48440321151,-61.735
50_sugar_small_moves_351.pdb,87.5,2.00002529437,0.296,0.239,-48.330,-90.9406676848,-1.03401594008,-12,-65.230,-200.091,-480.11,682.375,-2738.726,641.272217043,11.5393152301,5.60244042108,-40.0768203858,0.0,24.406,-111.099,-311.719,5.1854988161,-5.66826670717,46.39,-1875.1297608,-5.889,1533.943,60.0,-32.392,450,-48.276,558.988,-2676.20748902,282.324,60.812,0,5.37388935631,-61.735
50_sugar_small_moves_268.pdb,100.0,3.0142697425,0.298,0.239,-48.330,-82.8839175768,-0.577475651003,-10,-66.641,-200.091,-479.65,680.624,-2744.799,371.265011193,9.74604863338,3.96515821434,-39.0625759376,0.0,28.659,-111.099,-311.859,4.06273115248,-7.46153330386,51.55,-2145.13696665,-5.889,1539.256,56.0,-32.392,452,-48.133,558.860,-2668.15073891,282.571,60.812,0,5.00628280471,-61.735
50_sugar_small_moves_701.pdb,75.0,3.97270801224,0.296,0.239,-48.330,-164.375853627,25.2793421452,-17,-65.398,-200.091,-453.79,684.380,-2743.292,540.986536823,21.2173876248,8.13301615894,-38.1041376679,0.0,26.247,-111.099,-310.695,9.60478929413,4.00980568752,39.18,-1975.41544102,-5.889,1540.854,66.0,-32.392,445,-46.872,564.195,-2749.64267496,294.978,60.812,0,9.35571903999,-61.735
50_sugar_small_moves_726.pdb,50.0,2.41765840569,0.298,0.239,-48.330,-24.875929604,35.8715921093,-12,-66.227,-200.091,-443.2,683.267,-2749.719,554.380247802,9.88530899374,6.27677442784,-39.6591872744,0.0,39.588,-111.099,-313.127,12.2913636524,-7.3222729435,37.11,-1962.02173004,-5.889,1546.680,62.0,-32.392,450,-47.723,555.586,-2610.14275094,306.663,60.812,0,12.3411667114,-61.735
50_sugar_small_moves_614.pdb,75.0,6.14161341672,0.298,0.239,-48.330,-242.940554483,33.1999157429,-11,-66.466,-200.091,-445.87,681.875,-2745.774,522.982581288,21.3121811413,7.47695227228,-35.9352322634,0.0,38.478,-111.099,-312.398,8.92129142765,4.10459920407,38.14,-1993.41939656,-5.889,1544.203,56.0,-32.392,451,-48.172,555.887,-2828.20737582,304.683,60.812,0,8.9823496969,-61.735
50_sugar_small_moves_288.pdb,75.0,1.72928108669,0.296,0.553,-48.330,16.1240885468,-1.83508868028,-10,-65.655,-200.091,-480.91,682.712,-2744.181,653.874944805,10.4143059725,5.72032826065,-40.3475645934,0.0,31.375,-111.099,-311.504,5.11589946644,-6.79327596478,47.42,-1862.52703304,-5.889,1535.866,82.0,-32.392,452,-48.637,552.826,-2569.14273279,284.167,60.812,0,4.49898829122,-61.735
50_sugar_small_moves_153.pdb,75.0,2.317540882,0.298,0.239,-48.330,-70.086667052,17.2735811418,-10,-65.964,-200.091,-461.8,682.638,-2744.738,690.345934388,12.5340853223,5.19224144448,-39.7593047981,0.0,33.478,-111.099,-311.924,7.81666649052,-4.67349661489,46.39,-1826.05604346,-5.889,1541.235,68.0,-32.392,452,-48.333,554.085,-2655.35348839,295.913,60.812,0,7.36688471269,-61.735
50_sugar_small_moves_828.pdb,100.0,2.1277110117,0.296,3.261,-48.330,-104.529366848,23.6759681652,-10,-65.628,-200.091,-455.4,684.319,-2745.112,652.198257413,10.4150393738,5.53339125988,-39.9491346684,0.0,29.973,-111.099,-312.473,4.87817237015,-6.79254256347,46.39,-1864.20372043,-5.889,1540.084,64.0,-32.392,452,-48.664,555.448,-2689.79618818,301.826,60.812,0,5.68300502602,-61.735
50_sugar_small_moves_822.pdb,75.0,5.60016142275,0.294,0.392,-48.330,-48.8477476275,53.6671033715,-12,-65.274,-200.091,-425.4,684.724,-2748.960,552.446120467,16.2993586306,7.42337646782,-36.4766842574,0.0,54.456,-111.099,-313.124,7.97650217213,-0.90822330665,40.21,-1963.95585738,-5.889,1546.585,70.0,-32.392,450,-47.910,556.203,-2634.11456896,305.934,60.812,0,7.89433695818,-61.735
50_sugar_small_moves_738.pdb,100.0,2.75281873514,0.298,0.239,-48.330,-37.2024842221,16.6765137395,-12,-66.455,-200.091,-462.39,683.833,-2744.932,579.048188458,9.21166549161,6.77873284172,-39.324026945,0.0,32.756,-111.099,-312.408,5.30939477227,-7.99591644563,47.42,-1937.35378939,-5.889,1540.815,52.0,-32.392,450,-48.029,555.632,-2622.46930556,294.579,60.812,0,4.96383984049,-61.735
50_sugar_small_moves_337.pdb,75.0,3.55838436869,0.292,0.239,-48.330,-145.311288655,8.74254251071,-11,-65.159,-200.091,-470.33,682.317,-2739.076,714.845982127,13.5209726646,6.67562590278,-38.5184613114,0.0,30.042,-111.099,-312.723,11.1053451779,-3.68660927267,38.14,-1801.55599572,-5.889,1536.931,58.0,-32.392,451,-48.105,555.342,-2730.57810999,288.296,60.812,0,10.6654143215,-61.735
50_sugar_small_moves_506.pdb,62.5,1.92703651147,0.298,0.239,-48.330,-148.53263122,22.7829545444,-13,-66.026,-200.091,-456.29,683.394,-2740.784,554.374647234,12.5900831079,5.99414757078,-40.1498091687,0.0,36.149,-111.099,-311.347,10.5202575702,-4.6174988293,38.14,-1962.02733061,-5.889,1540.490,62.0,-32.392,449,-47.798,557.090,-2733.79945256,290.731,60.812,0,11.5932122566,-61.735
50_sugar_small_moves_943.pdb,62.5,3.76787342231,0.298,0.239,-48.330,-37.5666762594,27.7476495998,-11,-65.868,-200.091,-451.32,683.722,-2741.816,752.403311179,13.3788618784,7.01300474848,-38.3089722578,0.0,35.331,-111.099,-312.630,10.3231616872,-3.82872005882,38.14,-1763.99866667,-5.889,1541.337,72.0,-32.392,451,-47.914,559.153,-2622.8334976,295.548,60.812,0,11.1808092341,-61.735
50_sugar_small_moves_273.pdb,87.5,2.07663350703,0.296,0.239,-48.330,-82.4537288228,-14.1746830965,-10,-66.071,-200.091,-493.25,681.827,-2740.997,624.378159043,10.6157839243,6.54784215955,-40.0002121731,0.0,23.868,-111.099,-311.541,6.1763718962,-6.59179801299,45.36,-1892.0238188,-5.889,1533.728,74.0,-32.392,452,-48.672,552.077,-2667.72055016,280.724,60.812,0,5.4438004681,-61.735
50_sugar_small_moves_557.pdb,75.0,2.02972787752,0.298,0.239,-48.330,27.1508460503,-5.83989541156,-11,-65.471,-200.091,-484.91,681.046,-2742.111,903.946185452,10.274110088,5.3640244811,-40.0471178026,0.0,27.447,-111.099,-312.055,5.59569747663,-6.93347184922,44.33,-1612.45579239,-5.889,1537.124,66.0,-32.392,451,-48.637,552.227,-2558.11597529,283.706,60.812,0,5.08903545068,-61.735
