filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_582.pdb,87.5,0.33529498112,0.294,0.331,-48.330,42.2174977808,35.3036651731,-9,-66.302,-200.091,-442.98,685.081,-2755.454,20.6817792992,8.67529964462,4.69285359829,-41.741550699,0.0,34.298,-111.099,-311.727,13.3781894907,-8.53228229262,91.75,-2495.72019855,-5.889,1556.034,64.0,-32.392,453,-49.777,556.728,-2543.04932356,291.301,60.812,1,14.937,1.35241011025,-61.735
50_sugar_small_moves_453.pdb,100.0,0.190617176253,0.298,0.906,-48.330,-32.2958827596,-19.6398620775,-2,-68.506,-200.476,-497.92,681.169,-2760.714,32.1000878457,2.32685408326,2.86637440456,-41.8862285039,0.0,23.864,-111.099,-313.115,3.11678735788,-14.880727854,97.94,-2484.30189,-5.889,1556.226,48.0,-32.392,460,-51.675,550.794,-2617.5627041,278.098,60.812,2,3.840,0.556781762653,-61.735
50_sugar_small_moves_562.pdb,100.0,-0.221510954809,0.298,0.654,-48.330,17.5069478197,104.097057307,-9,-65.637,-200.091,-374.19,687.787,-2751.283,-71.17849849,21.7483814983,4.28854573085,-42.2983566349,0.0,42.075,-111.099,-309.864,8.39927683838,4.54079956107,75.26,-2587.58047633,-5.889,1554.913,4.0,-32.392,453,-48.706,553.974,-2567.75987352,304.383,60.812,1,55.944,3.04171706506,-61.735
50_sugar_small_moves_420.pdb,100.0,0.316412169871,0.298,0.239,-48.330,-31.4541143399,-13.5193857467,-1,-68.632,-201.112,-491.8,681.821,-2763.198,-43.8026135645,2.35383327552,3.65193335869,-41.7604335103,0.0,24.452,-111.099,-314.140,2.7089170684,-14.8537486617,98.97,-2560.20459141,-5.889,1559.366,58.0,-32.392,461,-52.115,549.715,-2616.72093568,283.913,60.812,2,6.223,0.790804245734,-61.735
50_sugar_small_moves_362.pdb,100.0,0.194361126908,0.298,0.239,-48.330,22.0213156216,-7.47992327144,-4,-68.353,-200.325,-485.76,681.569,-2759.938,8.81692244591,2.47413674872,2.5451542948,-41.8824845532,0.0,27.808,-111.099,-312.545,2.12731293958,-14.7334451885,98.97,-2507.5850554,-5.889,1556.200,64.0,-32.392,458,-51.144,555.893,-2563.24550571,280.801,60.812,2,2.366,0.673905573621,-61.735
50_sugar_small_moves_21.pdb,100.0,-0.0260389055757,0.299,0.392,-48.330,22.2622176005,-14.791323309,-2,-67.751,-200.773,-493.08,683.667,-2758.501,9.64124533015,3.35044168593,3.98951305224,-42.1028845857,0.0,25.980,-111.099,-312.350,3.78308702017,-13.8571402513,97.94,-2506.76073251,-5.889,1553.477,46.0,-32.392,460,-50.685,549.088,-2563.00460374,278.681,60.812,1,4.032,1.0901717903,-61.735
50_sugar_small_moves_355.pdb,100.0,0.189852322607,0.296,0.393,-48.330,-23.1536542122,-7.72204306692,-4,-68.533,-200.466,-486.01,680.491,-2761.769,-98.9455233364,2.23457770697,3.5722130603,-41.8869933575,0.0,26.535,-111.099,-313.931,5.48983599602,-14.9730042303,97.94,-2615.34750118,-5.889,1559.315,42.0,-32.392,458,-51.625,551.124,-2608.42047555,283.964,60.812,2,6.833,0.998963549302,-61.735
50_sugar_small_moves_595.pdb,100.0,0.427167714372,0.298,0.239,-48.330,-20.6350432603,-10.5942405873,-1,-68.732,-200.762,-488.88,682.130,-2762.567,0.00253654518747,2.62954901462,3.14728188583,-41.6496779658,0.0,26.204,-111.099,-314.568,5.30756567679,-14.5780329226,97.94,-2516.3994413,-5.889,1559.910,54.0,-32.392,461,-52.056,551.396,-2605.9018646,282.260,60.812,2,6.001,0.608767225744,-61.735
50_sugar_small_moves_546.pdb,100.0,0.194873324729,0.296,0.862,-48.330,8.78735268993,23.9927020188,-5,-67.889,-200.091,-454.29,683.220,-2762.528,103.943215472,6.64834822247,4.67852259236,-41.8819723554,0.0,32.884,-111.099,-312.456,3.65363279317,-10.5592337148,86.6,-2412.45876237,-5.889,1554.535,58.0,-32.392,457,-50.306,549.621,-2576.47946865,288.662,60.812,1,27.530,1.88273066789,-61.735
50_sugar_small_moves_260.pdb,100.0,0.324807509405,0.298,0.239,-48.330,33.3958745815,-9.38235962177,-3,-67.223,-200.877,-487.67,681.285,-2758.990,93.8512718297,5.15583579419,2.44412468654,-41.7520381707,0.0,24.739,-111.099,-312.578,2.66332290511,-12.0517461431,98.97,-2422.55070602,-5.889,1555.013,60.0,-32.392,459,-50.959,555.603,-2551.87094675,280.565,60.812,2,3.852,0.639286655894,-61.735
50_sugar_small_moves_364.pdb,100.0,0.268095810399,0.299,0.455,-48.330,31.9266796882,-13.4072824047,2,-68.904,-200.938,-491.69,681.222,-2761.462,-34.0455171571,0.629709312205,4.15584293424,-41.8087498697,0.0,26.454,-111.099,-313.940,4.16355168624,-16.577872625,98.97,-2550.447495,-5.889,1558.808,66.0,-32.392,464,-52.856,550.072,-2553.34014165,283.941,60.812,2,3.791,0.841636040829,-61.735
50_sugar_small_moves_262.pdb,100.0,0.647906706082,0.298,0.392,-48.330,36.4437314187,-6.87986398912,-2,-67.995,-200.893,-485.16,683.707,-2757.816,-1.57963157133,4.76275344071,3.72423420759,-41.428938974,0.0,25.828,-111.099,-312.677,2.46268703129,-12.4448284965,96.91,-2517.98160942,-5.889,1555.739,46.0,-32.392,460,-50.652,551.478,-2548.82308992,282.796,60.812,2,3.263,1.10308111295,-61.735
50_sugar_small_moves_192.pdb,100.0,0.200503961276,0.298,0.239,-48.330,30.1006774397,-5.73684796348,-4,-68.082,-200.916,-484.02,681.163,-2763.814,-60.1894013132,2.78073024889,2.64959365583,-41.8763417189,0.0,29.661,-111.099,-313.707,2.12437516814,-14.4268516883,100.0,-2576.59137916,-5.889,1559.842,48.0,-32.392,458,-51.416,554.173,-2555.1661439,283.283,60.812,2,3.888,0.782922179909,-61.735
50_sugar_small_moves_994.pdb,100.0,-0.0404174592595,0.298,0.924,-48.330,-24.8191792538,-9.94980287064,-4,-68.318,-200.772,-488.23,681.966,-2764.783,-52.5368074039,2.68886083261,3.16409158958,-42.1172631394,0.0,28.489,-111.099,-312.854,3.73646158196,-14.5187211046,98.97,-2568.93878525,-5.889,1557.473,62.0,-32.392,458,-50.739,550.495,-2610.08600059,282.637,60.812,2,5.585,0.830244397977,-61.735
50_sugar_small_moves_182.pdb,100.0,0.173201277786,0.296,0.645,-48.330,16.7222090029,-14.2191719318,-5,-68.920,-200.788,-492.5,681.302,-2763.390,84.0583690231,3.43817437852,2.23574026014,-41.9036444023,0.0,26.497,-111.099,-312.652,2.50438471833,-13.7694075587,97.94,-2432.34360882,-5.889,1557.759,52.0,-32.392,457,-49.722,549.828,-2568.54461233,281.165,60.812,2,4.109,0.592285440703,-61.735
50_sugar_small_moves_607.pdb,100.0,-0.163743101376,0.299,0.455,-48.330,39.2840259443,-3.26592608438,0,-67.814,-200.743,-481.55,683.261,-2760.326,-24.7641587188,4.5784227121,4.56090970095,-42.2405887815,0.0,27.853,-111.099,-313.999,3.68022342791,-12.6291592251,97.94,-2541.16613656,-5.889,1558.081,50.0,-32.392,462,-51.457,550.799,-2545.98279539,285.787,60.812,2,4.888,0.81756126459,-61.735
50_sugar_small_moves_915.pdb,100.0,0.0555893064111,0.298,0.331,-48.330,18.5526094811,-13.0980850082,-1,-67.920,-200.682,-491.38,682.257,-2760.700,60.2751861852,3.53288259324,2.88529407629,-42.0212563737,0.0,25.683,-111.099,-313.378,1.39952412745,-13.674699344,98.97,-2456.12679166,-5.889,1558.166,44.0,-32.392,461,-52.076,555.077,-2566.71421186,279.886,60.812,2,0.309,0.743146874216,-61.735
50_sugar_small_moves_464.pdb,100.0,0.258757171383,0.298,0.239,-48.330,5.78395908498,-13.2730679629,-2,-68.357,-200.787,-491.56,682.935,-2769.285,-75.9977947049,3.14195638482,3.70434571829,-41.8180885087,0.0,24.862,-111.099,-314.079,3.09380953337,-14.0656255524,98.97,-2592.39977255,-5.889,1564.026,42.0,-32.392,460,-51.367,551.478,-2579.48286225,282.999,60.812,2,4.112,0.943069391813,-61.735
50_sugar_small_moves_794.pdb,100.0,0.199680797499,0.298,0.645,-48.330,-17.9031918589,-17.194126614,-4,-68.401,-200.902,-495.48,681.149,-2761.862,-22.3400360141,3.3458036062,3.8687690055,-41.8771648826,0.0,25.699,-111.099,-313.931,3.34262807119,-13.861778331,100.0,-2538.74201386,-5.889,1558.438,46.0,-32.392,458,-50.839,549.450,-2603.1700132,281.253,60.812,2,2.158,0.516696438643,-61.735
50_sugar_small_moves_296.pdb,75.0,3.047026197,0.299,0.585,-48.330,-120.024849854,153.812447156,-5,-63.949,-200.695,-324.47,683.963,-2756.704,27.8565408445,17.6646536693,3.7224544064,-39.0298194831,0.0,47.074,-111.099,-309.946,13.2388082384,0.457071732049,80.41,-2488.545437,-5.889,1565.046,68.0,-32.392,457,-49.159,557.336,-2705.29167119,346.504,60.812,1,53.806,4.45763779352,-61.735
50_sugar_small_moves_901.pdb,100.0,1.27015519998,0.298,0.708,-48.330,-35.6017147743,13.4563160309,-8,-67.243,-200.091,-464.83,682.356,-2759.114,24.7100457549,9.75741106022,3.86632248938,-40.8066904802,0.0,30.757,-111.099,-311.771,3.94829083891,-7.45017087702,87.63,-2491.69193209,-5.889,1555.257,68.0,-32.392,454,-49.833,554.622,-2620.86853611,283.865,60.812,1,13.994,1.37746046379,-61.735
50_sugar_small_moves_210.pdb,100.0,0.090365152595,0.298,0.331,-48.330,-4.60960847996,-12.8852900313,-3,-68.721,-200.091,-491.17,681.710,-2760.884,-25.0415884997,3.40205323324,2.25073181644,-41.9864805275,0.0,25.658,-111.099,-312.698,1.65778742767,-13.805528704,98.97,-2541.44356634,-5.889,1555.778,46.0,-32.392,459,-51.576,550.172,-2589.87642982,282.182,60.812,2,5.305,0.681588884827,-61.735
50_sugar_small_moves_253.pdb,100.0,-0.0518047977689,0.298,0.239,-48.330,23.3272485382,-3.95014492352,-1,-68.015,-200.918,-482.23,682.700,-2760.033,33.8124342533,5.10825985981,2.33753411407,-42.1286504779,0.0,24.174,-111.099,-312.942,2.26400963737,-12.0993220774,98.97,-2482.58954359,-5.889,1558.157,48.0,-32.392,461,-51.393,556.730,-2561.9395728,281.453,60.812,2,5.950,0.598422655863,-61.735
50_sugar_small_moves_141.pdb,100.0,0.601809261972,0.299,1.113,-48.330,25.9872699445,2.07428974966,-1,-68.056,-200.873,-476.21,682.714,-2757.121,126.765202827,5.30617944293,4.16588797514,-41.4750364182,0.0,27.726,-111.099,-312.782,3.39086273166,-11.9014024943,89.69,-2389.63677502,-5.889,1552.938,50.0,-32.392,461,-50.286,549.709,-2559.27955139,284.651,60.812,1,12.390,1.19914360532,-61.735
50_sugar_small_moves_719.pdb,100.0,0.3298198836,0.298,0.239,-48.330,30.9528480218,-13.9201612647,-3,-68.559,-200.091,-492.2,681.917,-2756.585,67.29827474,3.81055105317,3.69670998563,-41.7470257965,0.0,28.318,-111.099,-312.248,5.99822905107,-13.3970308841,93.81,-2449.1037031,-5.889,1552.291,58.0,-32.392,459,-50.640,549.354,-2554.31397331,277.896,60.812,2,4.238,0.844015781771,-61.735
50_sugar_small_moves_642.pdb,100.0,0.584732457761,0.297,0.553,-48.330,12.7001248912,0.346826692889,-11,-68.021,-200.091,-477.94,683.094,-2752.007,108.894233625,8.49420878165,3.8591610255,-41.4921132224,0.0,24.354,-111.099,-310.997,3.85714557553,-8.71337315559,91.75,-2407.50774422,-5.889,1550.368,60.0,-32.392,451,-46.423,550.636,-2572.56669645,283.761,60.812,1,5.172,1.24374919905,-61.735
50_sugar_small_moves_470.pdb,100.0,0.0468860404958,0.298,0.707,-48.330,21.10117804,-14.8949994235,3,-68.364,-201.195,-493.18,682.881,-2759.992,24.7584030108,0.33534037594,3.92653654483,-42.0299596396,0.0,24.515,-111.099,-314.275,3.92975489826,-16.8722415613,100.0,-2491.64357483,-5.889,1556.398,56.0,-32.392,465,-53.238,549.460,-2564.1656433,282.572,60.812,2,5.688,0.679508150461,-61.735
50_sugar_small_moves_199.pdb,100.0,0.197025686835,0.296,0.331,-48.330,-4.28763013954,-20.0439399982,-5,-68.726,-200.776,-498.33,681.632,-2761.035,-51.2959015768,3.14081169209,3.05473396004,-41.8798199933,0.0,24.476,-111.099,-312.993,2.33884838122,-14.0667702451,97.94,-2567.69787942,-5.889,1555.388,50.0,-32.392,457,-50.650,550.404,-2589.55445148,278.010,60.812,2,3.949,0.874995814035,-61.735
50_sugar_small_moves_304.pdb,100.0,0.312531685659,0.298,0.392,-48.330,34.1705913299,-15.8923858183,-2,-68.648,-200.764,-494.18,682.471,-2761.646,65.3607731018,2.49886785453,2.48116454235,-41.7643139945,0.0,25.922,-111.099,-312.903,2.57803316283,-14.7087140827,98.97,-2451.04120474,-5.889,1556.501,42.0,-32.392,460,-51.512,550.023,-2551.09623001,281.790,60.812,2,2.534,0.560158103263,-61.735
50_sugar_small_moves_959.pdb,100.0,3.83477628843,0.160,0.239,-48.330,-63.8413980533,254.352694428,-11,-67.207,-200.091,-223.93,685.328,-2769.466,9.36508770037,23.522883101,2.60973580482,-38.2420693917,0.0,49.691,-111.099,-311.440,8.62590707125,6.31530116377,80.41,-2507.03689014,-5.889,1571.092,74.0,-32.392,451,-48.470,556.513,-2649.10821939,356.423,60.812,1,151.930,5.70770876069,-61.735
50_sugar_small_moves_693.pdb,100.0,0.165707563231,0.298,0.239,-48.330,21.0709566944,-21.1354461429,-3,-68.612,-200.091,-499.42,681.210,-2761.069,23.5039689427,2.043741463,2.56261445846,-41.9111381169,0.0,24.765,-111.099,-313.717,1.64403187321,-15.1638404742,94.85,-2492.8980089,-5.889,1556.787,52.0,-32.392,459,-51.396,550.420,-2564.19586464,279.869,60.812,2,0.511,0.608584144782,-61.735
