filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,Fc_glycan_rmsd,rama
50_sugar_small_moves_366.pdb,100.0,0.65318548403,0.298,0.331,-48.330,-25.6706284331,-23.4572243669,-3,-68.789,-200.860,-502.53,680.558,-2763.456,-16.0639949214,2.05550189525,-41.4236601961,0.0,23.711,-111.099,-313.408,0.341753442634,-15.152080042,100.0,-2532.46597277,-5.889,1557.240,34.0,-32.392,459,-51.568,550.764,-2610.93744977,281.283,60.812,2,0.598681926903,-61.735
50_sugar_small_moves_688.pdb,87.5,0.476889243143,0.298,0.331,-48.330,28.0777942945,-21.0538223825,-4,-67.822,-200.857,-500.13,681.090,-2755.023,189.86613137,4.5161764023,-41.599956437,0.0,22.194,-111.099,-312.371,0.341453508975,-12.6914055349,88.66,-2326.53584647,-5.889,1550.293,58.0,-32.392,458,-50.365,550.925,-2557.18902704,279.815,60.812,1,1.17835456229,-61.735
50_sugar_small_moves_682.pdb,100.0,0.715046071541,0.298,0.331,-48.330,15.2641144037,-21.0292069485,1,-68.492,-200.699,-500.1,681.440,-2766.497,0.20207034226,2.71207201583,-41.3617996086,0.0,24.603,-111.099,-313.988,0.355094594426,-14.4955099214,98.97,-2516.1999075,-5.889,1561.668,36.0,-32.392,463,-52.868,551.112,-2570.00270693,281.625,60.812,2,0.609740311586,-61.735
50_sugar_small_moves_20.pdb,100.0,0.906082419233,0.298,0.331,-48.330,-15.0607951813,-21.006812856,0,-68.621,-200.278,-500.08,680.764,-2761.765,29.7734010554,4.02756189935,-41.1707632609,0.0,23.805,-111.099,-312.865,0.354889559857,-13.1800200379,97.94,-2486.62857679,-5.889,1557.371,38.0,-32.392,462,-51.515,550.589,-2600.32761652,280.441,60.812,2,0.635562315683,-61.735
50_sugar_small_moves_912.pdb,100.0,0.624075757929,0.298,0.331,-48.330,-28.1739968428,-23.3640207636,0,-68.631,-200.786,-502.44,680.792,-2764.338,-31.5398526698,3.48943745637,-41.4527699222,0.0,22.840,-111.099,-312.709,0.34174634504,-13.7181444809,98.97,-2547.94183051,-5.889,1558.668,26.0,-32.392,462,-52.184,551.398,-2613.44081818,280.520,60.812,2,0.507592989213,-61.735
50_sugar_small_moves_660.pdb,87.5,0.395934768609,0.298,0.331,-48.330,41.6028548745,-19.9435958958,-3,-68.421,-200.631,-499.01,680.694,-2761.957,42.9776003056,2.87327109715,-41.6809109115,0.0,25.886,-111.099,-312.635,0.341753442634,-14.3343108401,97.94,-2473.42437754,-5.889,1554.620,28.0,-32.392,459,-51.124,551.354,-2543.66396646,281.204,60.812,2,0.763487606253,-61.735
50_sugar_small_moves_809.pdb,100.0,0.640466970041,0.298,0.331,-48.330,-18.1216139971,-19.1113044,-3,-67.544,-200.837,-498.18,680.738,-2766.354,15.0541474161,3.33050059177,-41.4363787101,0.0,24.321,-111.099,-313.953,0.341643824093,-13.8770813455,97.94,-2501.34783043,-5.889,1559.788,46.0,-32.392,459,-51.884,551.480,-2603.38843533,284.067,60.812,2,0.502490326734,-61.735
50_sugar_small_moves_594.pdb,100.0,0.774331006035,0.298,0.331,-48.330,7.12946055491,-21.9538085835,-3,-68.411,-201.015,-501.03,681.365,-2761.992,42.5176944121,2.95397883793,-41.3025146741,0.0,24.109,-111.099,-312.717,0.355107471499,-14.2536030993,97.94,-2473.88428343,-5.889,1556.888,42.0,-32.392,459,-51.884,550.484,-2578.13736078,280.152,60.812,2,0.633345691729,-61.735
50_sugar_small_moves_197.pdb,100.0,0.567403807937,0.298,0.331,-48.330,-10.6966575643,-18.1013601014,-6,-67.644,-200.091,-497.17,680.399,-2754.056,251.494513988,6.05354928038,-41.5094418722,0.0,23.719,-111.099,-311.886,0.354943286476,-11.1540326569,77.32,-2264.90746386,-5.889,1547.146,46.0,-32.392,456,-50.012,551.140,-2595.9634789,282.117,60.812,1,1.37185416969,-61.735
50_sugar_small_moves_209.pdb,100.0,0.658625141476,0.298,0.331,-48.330,9.2332881923,-25.3159984182,-2,-68.870,-200.714,-504.39,680.509,-2763.691,15.3764282802,1.2430634174,-41.4182205387,0.0,24.792,-111.099,-313.922,0.341736187036,-15.9645185198,98.97,-2501.02554956,-5.889,1558.430,36.0,-32.392,460,-52.950,549.768,-2576.03353314,280.265,60.812,2,0.724422597904,-61.735
50_sugar_small_moves_599.pdb,100.0,0.67773091253,0.298,0.331,-48.330,-16.6227872916,-21.581938346,-3,-67.732,-200.795,-500.65,680.519,-2758.399,40.2001298761,5.159699177,-41.3991147676,0.0,22.532,-111.099,-312.540,0.341764411745,-12.0478827602,91.75,-2476.20184797,-5.889,1552.589,42.0,-32.392,459,-50.575,550.760,-2601.88960863,280.993,60.812,1,0.782541682936,-61.735
50_sugar_small_moves_700.pdb,87.5,0.765913301725,0.298,0.331,-48.330,12.8222358827,-22.2932186708,-1,-68.527,-200.783,-501.36,680.339,-2762.077,38.5260953848,3.81276377754,-41.3109323784,0.0,24.236,-111.099,-313.067,0.354944652915,-13.3948181597,96.91,-2477.87588246,-5.889,1556.865,30.0,-32.392,461,-51.837,550.339,-2572.44458545,281.152,60.812,2,0.785328052614,-61.735
50_sugar_small_moves_183.pdb,100.0,0.443121752008,0.298,0.331,-48.330,17.5309868213,-22.8844057391,0,-68.700,-200.745,-501.96,681.158,-2763.557,-7.87800512151,1.72721697671,-41.6337239281,0.0,25.128,-111.099,-313.372,0.341764411745,-15.4803649605,97.94,-2524.27998297,-5.889,1558.360,44.0,-32.392,462,-51.814,550.506,-2567.73583452,279.085,60.812,2,0.813267667712,-61.735
50_sugar_small_moves_897.pdb,100.0,0.665144191774,0.298,0.331,-48.330,-8.92423304531,-18.6629942774,-1,-68.529,-200.748,-497.73,681.421,-2769.467,-29.4100622902,3.63238264182,-41.4117014884,0.0,25.764,-111.099,-313.770,0.355087047651,-13.5751992954,98.97,-2545.81204014,-5.889,1562.970,30.0,-32.392,461,-52.091,551.277,-2594.19105438,283.442,60.812,2,0.683296612483,-61.735
