filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_549.pdb,100.0,0.203838971059,0.298,3.261,-48.330,37.7229491622,72.750815451,-6,-67.482,-200.394,-406.32,685.439,-2757.753,117.307977256,7.73418717169,4.89796476262,-41.8730067091,0.0,35.695,-111.099,-311.914,4.16816482307,-9.47339476555,88.66,-2399.09400059,-5.889,1552.852,78.0,-32.392,456,-49.009,558.641,-2547.54387217,306.856,60.812,1,35.824,1.58317223325,-61.735
50_sugar_small_moves_260.pdb,100.0,0.535424038073,0.298,0.239,-48.330,-4.8044027385,11.0754385014,-4,-67.095,-200.953,-468.0,682.881,-2754.503,197.709447103,9.30320180913,5.61178672687,-41.5414216421,0.0,29.401,-111.099,-311.715,4.9270543371,-7.90438012811,78.35,-2318.69253074,-5.889,1549.230,74.0,-32.392,458,-49.093,554.993,-2590.07122407,286.238,60.812,1,10.716,1.39502651628,-61.735
50_sugar_small_moves_364.pdb,87.5,0.43000086591,0.299,0.239,-48.330,22.9325481456,32.5560080855,-8,-66.438,-200.091,-446.52,681.928,-2752.055,198.726337982,11.1524942509,5.89797115658,-41.6468448142,0.0,41.860,-111.099,-311.219,8.2638474187,-6.05508768638,76.29,-2317.67563986,-5.889,1549.269,66.0,-32.392,454,-47.715,550.891,-2562.33427319,292.407,60.812,0,12.744,2.32926885678,-61.735
50_sugar_small_moves_262.pdb,100.0,2.1516572305,0.298,0.301,-48.330,30.2825174767,5.0061812118,-9,-67.618,-200.091,-474.07,681.899,-2759.800,156.763813412,8.35747027735,4.60841242433,-39.9251884496,0.0,28.884,-111.099,-312.609,9.00118224351,-8.85011165989,83.51,-2359.63816443,-5.889,1555.803,72.0,-32.392,453,-48.298,552.644,-2554.98430386,286.326,60.812,1,6.829,2.33854826083,-61.735
50_sugar_small_moves_192.pdb,87.5,0.726205649038,0.298,0.392,-48.330,-31.3152637016,40.2802387306,-10,-65.979,-200.091,-438.79,683.664,-2750.581,144.060089264,13.7708543169,6.01303248427,-41.3506400311,0.0,40.668,-111.099,-311.716,3.89271013362,-3.43672762029,79.38,-2372.34188858,-5.889,1546.872,74.0,-32.392,452,-48.645,558.499,-2616.58208504,291.089,60.812,0,15.371,1.97250647496,-61.735
50_sugar_small_moves_994.pdb,100.0,0.487499171182,0.298,0.239,-48.330,10.8786992839,13.0089443927,-7,-66.811,-200.091,-466.06,682.285,-2753.678,176.026058253,9.67119014608,4.97234713896,-41.5893465089,0.0,32.090,-111.099,-311.649,5.1018236791,-7.53639179116,75.26,-2340.37591959,-5.889,1549.703,66.0,-32.392,455,-48.663,557.080,-2574.38812205,282.834,60.812,0,8.934,1.39393846992,-61.735
50_sugar_small_moves_182.pdb,100.0,0.318779644093,0.296,0.239,-48.330,10.162051579,16.7206257889,-9,-66.156,-200.091,-462.35,682.962,-2743.709,290.853945913,12.1350474465,6.92729746792,-41.758066036,0.0,26.062,-111.099,-310.617,9.35757298762,-5.07253449076,74.23,-2225.54803193,-5.889,1542.645,76.0,-32.392,453,-48.535,555.110,-2575.10476976,283.570,60.812,0,14.508,1.68735381813,-61.735
50_sugar_small_moves_607.pdb,100.0,0.450895264139,0.299,0.271,-48.330,5.76646700738,2.7398760833,-5,-66.834,-200.091,-476.33,681.137,-2752.952,129.747287901,10.1580636053,6.50695301157,-41.625950416,0.0,30.676,-111.099,-313.038,9.52508014123,-7.04951833189,84.54,-2386.65468994,-5.889,1550.527,60.0,-32.392,457,-49.279,550.545,-2579.50035433,282.721,60.812,1,8.319,1.37243448981,-61.735
50_sugar_small_moves_915.pdb,87.5,0.189016015225,0.294,0.239,-48.330,-7.53353918328,16.965736058,-8,-67.236,-200.091,-462.11,682.720,-2754.207,-38.8175808839,7.23900875435,7.02221147883,-41.8878296649,0.0,31.072,-111.099,-313.182,11.4083681342,-9.96857318289,86.6,-2555.21955873,-5.889,1551.252,64.0,-32.392,454,-48.953,552.916,-2592.80036052,287.378,60.812,0,14.325,1.38723161891,-61.735
50_sugar_small_moves_464.pdb,100.0,34.4661793708,0.298,0.862,-48.330,71.9023602225,51.7586894254,-9,-66.668,-200.091,-427.31,683.981,-2749.044,163.414774499,7.0223843816,5.67142798969,-7.6106663093,0.0,40.563,-111.099,-310.402,9.21631993946,-10.1851975556,79.38,-2352.98720335,-5.889,1546.303,74.0,-32.392,453,-48.448,545.910,-2513.36446111,317.825,60.812,0,10.231,2.3320027272,-61.735
