filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_203.pdb,87.5,6.7973500663,0.270,0.504,-48.330,44.4210651672,-44.2489864905,10,-67.304,-201.810,-3412.66,691.708,-5653.105,-148.939005926,-9.47032966957,-105.891717216,0.0,27.135,-111.099,-322.262,0.441202923878,-78.6113385857,100.0,-2665.34098377,-5.889,1626.734,48.0,-32.392,472,-49.349,547.189,-2540.84575617,184.776,60.812,2,1.486,1.03344618437,-61.735
50_sugar_small_moves_593.pdb,87.5,7.54235903698,0.270,0.504,-48.330,5.16506533218,-42.8052466856,6,-65.538,-201.922,-3411.22,690.654,-5663.713,-213.063488627,-12.6349582119,-105.146708245,0.0,29.393,-111.099,-319.986,0.437407727518,-81.775967128,100.0,-2729.46546647,-5.889,1627.084,62.0,-32.392,468,-48.317,549.386,-2580.101756,186.274,60.812,2,3.326,1.09751067121,-61.735
50_sugar_small_moves_418.pdb,87.5,7.090703258,0.271,0.504,-48.330,74.7877230278,-38.9772337535,3,-66.716,-200.941,-3407.39,691.790,-5656.301,-98.1478458121,-7.18555435264,-105.598364024,0.0,29.069,-111.099,-319.992,0.441153162009,-76.3265632688,100.0,-2614.54982366,-5.889,1627.035,68.0,-32.392,465,-48.539,550.228,-2510.47909831,183.048,60.812,2,1.787,0.886865926798,-61.735
50_sugar_small_moves_56.pdb,100.0,6.91130465267,0.270,0.504,-48.330,72.8194337817,-39.9691379967,9,-66.864,-201.672,-3408.38,690.294,-5661.706,-125.656461088,-13.751330717,-105.77776263,0.0,29.360,-111.099,-320.628,0.437931663615,-82.8923396331,100.0,-2642.05843893,-5.889,1628.911,56.0,-32.392,471,-49.461,549.381,-2512.44738755,185.634,60.812,2,6.228,1.02241781828,-61.735
50_sugar_small_moves_35.pdb,100.0,6.76464774157,0.271,0.566,-48.330,36.0950844473,-40.4982967598,11,-67.741,-201.763,-3408.91,691.880,-5651.342,-124.536285503,-10.5239988617,-105.924419541,0.0,28.939,-111.099,-322.256,0.437742855255,-79.6650077778,100.0,-2640.93826335,-5.889,1625.245,66.0,-32.392,473,-50.211,547.356,-2549.17173689,182.691,60.812,2,6.086,1.01223933141,-61.735
50_sugar_small_moves_349.pdb,87.5,7.88012841504,0.270,0.504,-48.330,39.4029022589,-33.9634579075,1,-65.957,-200.551,-3402.38,691.022,-5651.060,-90.1916344261,-4.58493706133,-104.808938867,0.0,27.525,-111.099,-319.326,0.441244320412,-73.7259459775,100.0,-2606.59361227,-5.889,1623.388,62.0,-32.392,463,-46.406,550.551,-2545.86391908,185.255,60.812,2,1.043,0.982214624259,-61.735
50_sugar_small_moves_578.pdb,100.0,7.52234126338,0.271,0.504,-48.330,11.6694110051,-43.750183568,8,-66.240,-201.668,-3412.16,688.480,-5658.024,-163.536753621,-11.2780672938,-105.166726019,0.0,28.945,-111.099,-320.576,0.4372205435,-80.4190762099,98.97,-2679.93873147,-5.889,1628.256,58.0,-32.392,470,-48.608,548.514,-2573.59741033,183.401,60.812,2,3.216,0.990409288366,-61.735
50_sugar_small_moves_172.pdb,87.5,7.9153881508,0.271,0.504,-48.330,96.5989940917,-38.925455832,6,-67.078,-201.795,-3407.34,691.699,-5663.391,-105.919727158,-10.5412919892,-104.773679131,0.0,28.154,-111.099,-320.427,0.437095183488,-79.6823009053,100.0,-2622.321705,-5.889,1629.204,60.0,-32.392,468,-48.340,550.295,-2488.66782724,188.633,60.812,2,3.566,1.06931561357,-61.735
50_sugar_small_moves_800.pdb,100.0,7.45702104019,0.270,0.504,-48.330,43.8991031226,-45.3705249752,10,-66.675,-201.729,-3413.78,691.473,-5651.471,-114.521749152,-12.4511997493,-105.232046242,0.0,27.363,-111.099,-322.729,0.437364139853,-81.5922086655,100.0,-2630.923727,-5.889,1622.667,52.0,-32.392,472,-50.251,547.897,-2541.36771821,184.748,60.812,2,2.784,0.951305526325,-61.735
50_sugar_small_moves_740.pdb,87.5,7.69312386718,0.270,0.504,-48.330,48.3755934012,-40.438769736,5,-65.356,-200.849,-3408.85,690.461,-5658.695,-148.904184668,-10.2831918282,-104.995943415,0.0,29.042,-111.099,-319.600,0.437795822036,-79.4242007443,100.0,-2665.30616251,-5.889,1624.327,70.0,-32.392,467,-48.462,549.554,-2536.89122794,185.297,60.812,2,3.287,1.03541727419,-61.735
50_sugar_small_moves_163.pdb,87.5,7.11209511906,0.271,0.504,-48.330,67.249444306,-41.9972899987,7,-65.751,-201.613,-3410.41,690.393,-5655.289,-102.094935065,-9.25582828207,-105.576972163,0.0,27.822,-111.099,-319.904,0.441387979705,-78.3968371982,100.0,-2618.49691291,-5.889,1626.952,60.0,-32.392,469,-49.572,550.514,-2518.01737703,183.005,60.812,2,0.891,0.968526456339,-61.735
50_sugar_small_moves_129.pdb,87.5,7.41582304242,0.270,0.504,-48.330,14.4833859656,-39.5848156393,6,-65.917,-201.844,-3408.0,688.115,-5660.060,-190.834440039,-10.3655566921,-105.27324424,0.0,28.464,-111.099,-320.508,0.437587639153,-79.5065656083,100.0,-2707.23641788,-5.889,1630.196,60.0,-32.392,468,-47.671,549.400,-2570.78343537,186.226,60.812,2,3.459,1.07621611231,-61.735
50_sugar_small_moves_645.pdb,87.5,7.44483956597,0.270,0.504,-48.330,6.19125687621,-46.6903781337,9,-66.416,-201.081,-3415.1,689.494,-5662.752,-184.782646606,-12.1468627247,-105.244227716,0.0,27.207,-111.099,-321.517,0.440596027698,-81.2878716409,100.0,-2701.18462445,-5.889,1631.617,66.0,-32.392,471,-49.153,549.944,-2579.07556446,184.133,60.812,2,1.280,1.12879774749,-61.735
50_sugar_small_moves_394.pdb,100.0,8.37540109877,0.270,0.504,-48.330,50.6481827417,-30.2002669329,4,-66.735,-201.693,-3398.61,693.784,-5674.449,-130.890594916,-7.83053394401,-104.313666183,0.0,30.540,-111.099,-322.782,0.438661676629,-76.9715428601,100.0,-2647.29257276,-5.889,1634.218,60.0,-32.392,466,-47.337,552.725,-2534.61863859,195.634,60.812,2,5.341,1.03505814338,-61.735
50_sugar_small_moves_450.pdb,87.5,7.73801396527,0.276,0.504,-48.330,42.9823553582,-35.6987590654,8,-67.081,-201.683,-3404.11,692.268,-5679.909,-149.366270284,-9.30984691692,-104.951053317,0.0,29.424,-111.099,-323.464,0.437802458049,-78.4508558331,100.0,-2665.76824813,-5.889,1641.325,44.0,-32.392,470,-48.401,550.427,-2542.28446598,196.744,60.812,2,4.091,1.18395631417,-61.735
50_sugar_small_moves_961.pdb,87.5,7.27588216086,0.271,0.720,-48.330,5.26525498827,-37.195490368,10,-66.833,-201.842,-3405.61,693.375,-5664.461,-147.451954375,-7.56984857135,-105.413185121,0.0,28.879,-111.099,-322.825,0.42251538607,-76.7108574875,100.0,-2663.85393222,-5.889,1633.193,58.0,-32.392,472,-49.068,551.249,-2580.00156635,185.828,60.812,2,4.536,1.03813717845,-61.735
50_sugar_small_moves_2.pdb,87.5,7.15544649164,0.271,0.504,-48.330,57.1707961942,-42.7807790811,7,-66.952,-201.516,-3411.19,689.891,-5662.844,-168.169958953,-10.7385912561,-105.533620791,0.0,27.689,-111.099,-319.248,0.437841854799,-79.8796001723,100.0,-2684.5719368,-5.889,1631.979,54.0,-32.392,469,-47.932,549.419,-2528.09602514,182.741,60.812,2,3.438,1.22480651782,-61.735
50_sugar_small_moves_98.pdb,87.5,7.48440937981,0.271,0.566,-48.330,6.4552670144,-45.3213777939,8,-65.822,-201.361,-3413.73,690.216,-5658.823,-175.734541726,-9.67369785743,-105.204657902,0.0,27.253,-111.099,-320.597,0.441202923878,-78.8147067736,98.97,-2692.13651957,-5.889,1626.741,62.0,-32.392,470,-48.684,549.366,-2578.81155432,184.333,60.812,2,1.439,1.16942724979,-61.735
50_sugar_small_moves_793.pdb,87.5,6.85689698949,0.274,0.504,-48.330,60.0845652028,-40.944292619,6,-66.285,-201.532,-3409.36,689.566,-5657.465,-124.343461527,-8.74293544934,-105.832170293,0.0,28.172,-111.099,-319.205,0.440937246097,-77.8839443655,98.97,-2640.74543937,-5.889,1625.959,54.0,-32.392,468,-48.859,550.300,-2525.18225613,187.047,60.812,2,0.799,1.03982413087,-61.735
50_sugar_small_moves_996.pdb,87.5,6.89866511327,0.274,0.504,-48.330,51.4096117168,-44.4910935626,8,-66.818,-201.630,-3412.9,689.282,-5654.467,-146.459133527,-11.2763391833,-105.790402169,0.0,28.191,-111.099,-321.356,0.437364139853,-80.4173480994,100.0,-2662.86111137,-5.889,1626.551,64.0,-32.392,470,-50.003,546.804,-2533.85720962,184.463,60.812,2,3.935,0.984037049845,-61.735
50_sugar_small_moves_983.pdb,87.5,7.14569997683,0.270,0.496,-48.330,58.4917777274,-49.1406590993,12,-69.168,-201.662,-3417.55,690.926,-5658.189,-164.971437538,-13.2882548675,-105.543367305,0.0,28.827,-111.099,-323.392,0.441151607098,-82.4292637836,100.0,-2681.37341538,-5.889,1630.694,62.0,-32.392,474,-50.236,547.542,-2526.77504361,184.016,60.812,2,0.957,1.11879475447,-61.735
50_sugar_small_moves_513.pdb,87.5,6.8732623124,0.270,0.504,-48.330,44.6062329653,-41.1209338387,8,-66.069,-201.624,-3409.53,690.483,-5654.670,-151.715778224,-10.4649887739,-105.81580497,0.0,27.679,-111.099,-320.404,0.437104008129,-79.60599769,100.0,-2668.11775607,-5.889,1626.803,70.0,-32.392,470,-48.186,549.583,-2540.66058837,181.773,60.812,2,2.956,1.00745509107,-61.735
